year,city,avg_sale_price
2010,SNOQUALMIE,491954.06
2011,SNOQUALMIE,443802.04
2012,SNOQUALMIE,460730.51
2013,SNOQUALMIE,484605.14
2014,SNOQUALMIE,538056.3
2015,SNOQUALMIE,574425.86
2016,SNOQUALMIE,645436.16
2017,SNOQUALMIE,722287.17
2018,SNOQUALMIE,774127.14
2019,SNOQUALMIE,758445.8
2020,SNOQUALMIE,842638.88
2021,SNOQUALMIE,1119616.49
2022,SNOQUALMIE,1314069.18
2023,SNOQUALMIE,1226479.43
2000,TUKWILA,174351.7
2001,TUKWILA,197378.69
2002,TUKWILA,216005.15
2003,TUKWILA,224194.27
2004,TUKWILA,245546.59
2005,TUKWILA,280108.13
2006,TUKWILA,317666.78
2007,TUKWILA,357446.87
2008,TUKWILA,348378.95
2009,TUKWILA,260944.44
2010,TUKWILA,243549.78
2011,TUKWILA,221257.3
2012,TUKWILA,217346.23
2013,TUKWILA,234987.1
2014,TUKWILA,261150.62
2015,TUKWILA,311976.42
2016,TUKWILA,367747.96
2017,TUKWILA,388772.78
2018,TUKWILA,437901.29
2019,TUKWILA,463169.76
2020,TUKWILA,487940.44
2021,TUKWILA,567905.91
2022,TUKWILA,658911.82
2023,TUKWILA,633924.49
2000,WOODINVILLE,327879.87
2001,WOODINVILLE,332895.28
2002,WOODINVILLE,313562.25
2003,WOODINVILLE,358588.78
2004,WOODINVILLE,409349.16
2005,WOODINVILLE,510003.55
2006,WOODINVILLE,583224.06
2007,WOODINVILLE,632232.53
2008,WOODINVILLE,555697.86
2009,WOODINVILLE,445572.09
2010,WOODINVILLE,498669.96
2011,WOODINVILLE,456008.26
2012,WOODINVILLE,447934.79
2013,WOODINVILLE,494727.79
2014,WOODINVILLE,504962.75
2015,WOODINVILLE,547781.37
2016,WOODINVILLE,704064.07
2017,WOODINVILLE,747201.43
2018,WOODINVILLE,938907.8
2019,WOODINVILLE,860687.71
2020,WOODINVILLE,892606.54
2021,WOODINVILLE,1209504.07
2022,WOODINVILLE,1353952.65
2023,WOODINVILLE,1368803.91
2000,YARROW POINT,1284335
2001,YARROW POINT,1209250
2002,YARROW POINT,1100534.62
2003,YARROW POINT,1120695.83
2004,YARROW POINT,1452235.29
2005,YARROW POINT,1680357.14
2006,YARROW POINT,1716959.67
2007,YARROW POINT,1400605.88
2008,YARROW POINT,2840993.79
2009,YARROW POINT,1976243.2
2010,YARROW POINT,1836257.14
2011,YARROW POINT,1399500
2012,YARROW POINT,2282571.43
2013,YARROW POINT,1843326.47
2014,YARROW POINT,2470000
2015,YARROW POINT,2309935.96
2016,YARROW POINT,2462770.83
2017,YARROW POINT,2895689.58
2018,YARROW POINT,3913968.75
2019,YARROW POINT,5017134.47
2020,YARROW POINT,4085425.78
2021,YARROW POINT,4371980
2022,YARROW POINT,7120318.18
2023,YARROW POINT,5968666.67
